Question ID,Question Number,Question Content,Image,User
f21,1,What makes you laugh? ,466890,f4
f22,2,Tell about a time when you had too much to drink,466890,f4
f23,1,What are the most extreme sports? ,389133,f4
f24,2,Do you enjoy any winter sports? ,389133,f4
f25,1,Have you ever visited a foreign country? ,393503,f4
f26,2,Have you ever experienced farm life? ,393503,f4
f27,1,do you play sports? ,379613,f4
f28,2,do you watch sports? ,379613,f4
f29,1,How have farming practices changed in the last 100 years? ,384157,f4
f30,2,Do you like My Little Ponies? ,384157,f4
f31,1,Is this individual nervous?,308936,f5
f32,2,What is the person thinking?,308936,f5
f33,1,"Was this pizza cooked by a man or woman?
",149712,f5
f34,2,Do you think artichokes have feelings?,149712,f5
f35,1,Does this picture generate peace within your soul?,338544,f5
f36,2,What part of the globe was this image taken at?,338544,f5
f37,1,Indeed this persons is smiling because of what?,310606,f5
f38,2,What do you suppose his is in such a good mood about?,310606,f5
f39,1,Do all dogs like boats?,103581,f5
f40,2,Does this guy know how to drive a car?,103581,f5
f41,1,Is the image clear or blurred?,356938,f7
f42,2,Who makes this clock?,356938,f7
f43,1,Would you hire this contractor?,510225,f7
f44,2,Is this ADA accessible?,510225,f7
f45,1,"Describe the weather, is it cloudy?",200796,f7
f46,2,Are they flying balloons?,200796,f7
f47,1,Is she playing the harmonica?,236184,f7
f48,2,Is that ice cream?,236184,f7
f49,1,Is this a winter sport?,467068,f7
f50,2,Does this look like a novice?,467068,f7
f51,1,Who are those flowers that the man is holding for?,115505,f8
f52,2,What is the girl on the phone talking about?,115505,f8
f53,1,How old the boat?,99678,f8
f54,2,What is the string in the water attached to?,99678,f8
f55,1,Where is the woman eating the donut?,565513,f8
f56,2,What flavor is the donut that the woman is eating?,565513,f8
f57,1,Are all the people there related?,42725,f8
f58,2,What were the people celebrating?,42725,f8
f59,1,What's the weather like?,149036,f8
f60,2,Is the man enjoying the activity?,149036,f8
f61,1,Why is the man taking the photograph?,168083,f9
f62,2,Is the woman happy she is being photographed brushing her teeth?,168083,f9
f63,1,Which woman is most likely to dance a jig?,547764,f9
f64,2,Which woman is most unhappy with what she's doing?,547764,f9
f65,1,Which person is the most engaged in what he or she is doing?,322835,f9
f66,2,How many people are pleased to be participating in this experience?,322835,f9
f67,1,How excited is the person wearing the skis?,253334,f9
f68,2,How many times has this person gone tumbling down the mountain?,253334,f9
f69,1,How long have these surfers known each other?,29324,f9
f70,2,Which dog is excited to go back out in the surf? ,29324,f9
f71,1,"Where are they heading that business/formal attire (i.e. dress shirt, tie, with sweater vest) was the dress code?",69432,f11
f72,2,Are either one of them excited to be going to their destination or is this a more serious event?,69432,f11
f73,1,How long has the couple been engaged and planning their wedding?,344157,f11
f74,2,How many guests were invited in total?,344157,f11
f75,1,Have either of them been skiing before?,114978,f11
f76,2,How long is that ski run from top to bottom?,114978,f11
f77,1,Are they both employed at the same place and carpooling together?,226176,f11
f78,2,Is the passenger confident enough in the driver's driving ability that he is okay not wearing a helmet?,226176,f11
f79,1,How long has the skater been professionally skating?,201929,f11
f80,2,Was he the main performer/highlight of the event?,201929,f11
